,GPIO D10,GPIO D11,GPIO D12,GPIO D13,GPIO D6,GPIO D9
0,D10 OFF,D11 OFF,D12 OFF,D13 OFF,D6 ON,D9 OFF
1,D10 OFF,D11 OFF,D12 OFF,D13 OFF,D6 OFF,D9 ON
2,D10 ON,D11 OFF,D12 OFF,D13 OFF,D6 OFF,D9 OFF
3,D10 OFF,D11 ON,D12 OFF,D13 OFF,D6 OFF,D9 OFF
4,D10 OFF,D11 OFF,D12 ON,D13 OFF,D6 OFF,D9 OFF
5,D10 OFF,D11 OFF,D12 OFF,D13 ON,D6 OFF,D9 OFF
